Category,Colors,Description,ItemId,Material_And_Care,PaginationImages,Sizes,Title,currentPrice,originalPrice,url
Home->Accessories->Scarves->Shimmer Trim Poncho,"["" Black "","" Pearl Grey ""]","Our super soft and shimmery-edged poncho adds just the right sparkle to every outfit. Light fringe at ends. 40"" x 59"".",500140," , 95% Cotton, 5% Other fibers , , Hand Wash, Line Dry , , Imported ","[""http://anninc.scene7.com/is/image/AN/500140_2222""
""http://anninc.scene7.com/is/image/AN/500140_2222_ALT1""
""http://anninc.scene7.com/is/image/AN/500140_2222_ALT2""]","["" ONE SIZE ""]",Shimmer Trim Poncho,50,50,https://www.anntaylor.com/shimmer-trim-poncho/500140
Home->Accessories->Jewelry->Twisted Pearlized Statement Necklace,"["" Silver "","" Ivory ""]","Layer on the luster with high gloss accessories, like our luxe pearlized twist necklace. Lobster claw clasp. 17"" length with 2"" extender.",501209," , Imported ","[""http://anninc.scene7.com/is/image/AN/501209_9129""
""http://anninc.scene7.com/is/image/AN/501209_9129_ALT1""]","["" ONE SIZE ""]",Twisted Pearlized Statement Necklace,50,50,https://www.anntaylor.com/twisted-pearlized-statement-necklace/501209
Home->Accessories->Jewelry->Twisted Pearlized Statement Necklace,"["" Silver "","" Ivory ""]","Layer on the luster with high gloss accessories, like our luxe pearlized twist necklace. Lobster claw clasp. 17"" length with 2"" extender.",501209," , Imported ","[""http://anninc.scene7.com/is/image/AN/501209_6001""
""http://anninc.scene7.com/is/image/AN/501209_6001_ALT1""
""http://anninc.scene7.com/is/image/AN/501209_6001_ALT2""]","["" ONE SIZE ""]",Twisted Pearlized Statement Necklace,50,50,https://www.anntaylor.com/twisted-pearlized-statement-necklace/501209
Home->Accessories->Scarves->Shimmer Trim Poncho,"["" Black "","" Pearl Grey ""]","Our super soft and shimmery-edged poncho adds just the right sparkle to every outfit. Light fringe at ends. 40"" x 59"".",500140," , 95% Cotton, 5% Other fibers , , Hand Wash, Line Dry , , Imported ","[""http://anninc.scene7.com/is/image/AN/500140_6619""]","["" ONE SIZE ""]",Shimmer Trim Poncho,50,50,https://www.anntaylor.com/shimmer-trim-poncho/500140
Home->Clothing->Tops and Blouses->Tunic Tee,"["" Ash Heather "","" Urban Blue "",""  Light Blue Heather - Online Exclusive ""]","Meet your real-life uniform: this is Luxewear. Every day. Every wear. Perfect for mixing and matching, our tunic tee features an overlapped shirttail hem for an extra flattering effect. Jewel neck. Short sleeves. Shirttail hem.",489570," , 82% Rayon, 15% Polyester, 3% Spandex , , Machine Washable , , Imported ","[""http://anninc.scene7.com/is/image/AN/489570_2883""]","["" XXS "","" XS "","" S "","" M "","" L "","" XL "","" XXL ""]",Tunic Tee,39,39,https://www.anntaylor.com/tunic-tee/489570
Home->Clothing->Tops and Blouses->Tunic Tee,"["" Ash Heather "","" Urban Blue "",""  Light Blue Heather - Online Exclusive ""]","Meet your real-life uniform: this is Luxewear. Every day. Every wear. Perfect for mixing and matching, our tunic tee features an overlapped shirttail hem for an extra flattering effect. Jewel neck. Short sleeves. Shirttail hem.",489570," , 82% Rayon, 15% Polyester, 3% Spandex , , Machine Washable , , Imported ","[""http://anninc.scene7.com/is/image/AN/489570_9210""]","["" XXS "","" XS "","" S "","" M "","" L "","" XL "","" XXL ""]",Tunic Tee,39,39,https://www.anntaylor.com/tunic-tee/489570
Home->Clothing->Pants->The Wide-Leg Knit Crop Pant,"["" Black "","" Night Sky ""]",Meet your real-life uniform: this is Luxewear. Every day. Every wear. Our knit twill pant breezes through the season with a cropped wide leg silhouette. Hidden side zip with hook-and-eye closure. Back besom pockets.,493973," , 70% Viscose, 26% Nylon, 4% Spandex , , Machine Washable , , Imported ","[""http://anninc.scene7.com/is/image/AN/493973_1362""
""http://anninc.scene7.com/is/image/AN/493973_1362_MKTG1""]","["" 00 "","" 0 "","" 2 "","" 4 "","" 6 "","" 8 "","" 10 "","" 12 "","" 14 "","" 16 "","" 18 ""]",The Wide-Leg Knit Crop Pant,98,98,https://www.anntaylor.com/the-wide-leg-knit-crop-pant/493973
Home->Clothing->Pants->The Wide-Leg Knit Crop Pant,"["" Black "","" Night Sky ""]",Meet your real-life uniform: this is Luxewear. Every day. Every wear. Our knit twill pant breezes through the season with a cropped wide leg silhouette. Hidden side zip with hook-and-eye closure. Back besom pockets.,493973," , 70% Viscose, 26% Nylon, 4% Spandex , , Machine Washable , , Imported ","[""http://anninc.scene7.com/is/image/AN/493973_2222http://anninc.scene7.com/is/image/AN/493973_2222http://anninc.scene7.com/is/image/AN/493973_2222http://anninc.scene7.com/is/image/AN/493973_2222""
""http://anninc.scene7.com/is/image/AN/493973_2222_ALT1http://anninc.scene7.com/is/image/AN/493973_2222_ALT1http://anninc.scene7.com/is/image/AN/493973_2222_ALT1http://anninc.scene7.com/is/image/AN/493973_2222_ALT1http://anninc.scene7.com/is/image/AN/493973_2222_ALT1""
""http://anninc.scene7.com/is/image/AN/493973_2222_ALT2http://anninc.scene7.com/is/image/AN/493973_2222_ALT2http://anninc.scene7.com/is/image/AN/493973_2222_ALT2http://anninc.scene7.com/is/image/AN/493973_2222_ALT2http://anninc.scene7.com/is/image/AN/493973_2222_ALT2""]","["" 00 "","" 0 "","" 2 "","" 4 "","" 6 "","" 8 "","" 10 "","" 12 "","" 14 "","" 16 "","" 18 ""]",The Wide-Leg Knit Crop Pant,98,98,https://www.anntaylor.com/the-wide-leg-knit-crop-pant/493973
Home->Clothing->Sweaters->Boyfriend Cardigan,"["" Black "","" Winter White ""]","Meet your real-life uniform: this is Luxewear. Every day. Every wear. Our endlessly wearable boyfriend cardigan is a wear-with-all layer, wrapping you in cozy comfort. V-neck. Long sleeves. Button front. Patch pockets. Ribbed cuffs and hem.",487924," , 51% Nylon, 49% Acrylic , , Machine Washable , , Imported ","[""http://anninc.scene7.com/is/image/AN/487924_9192""
""http://anninc.scene7.com/is/image/AN/487924_9192_ALT1""
""http://anninc.scene7.com/is/image/AN/487924_9192_ALT2""]","["" XXS "","" XS "","" S "","" M "","" L "","" XL "","" XXL ""]",Boyfriend Cardigan,109,109,https://www.anntaylor.com/boyfriend-cardigan/487924
Home->Clothing->Sweaters->Boyfriend Cardigan,"["" Black "","" Winter White ""]","Meet your real-life uniform: this is Luxewear. Every day. Every wear. Our endlessly wearable boyfriend cardigan is a wear-with-all layer, wrapping you in cozy comfort. V-neck. Long sleeves. Button front. Patch pockets. Ribbed cuffs and hem.",487924," , 51% Nylon, 49% Acrylic , , Machine Washable , , Imported ","[""http://anninc.scene7.com/is/image/AN/487924_2222""]","["" XXS "","" XS "","" S "","" M "","" L "","" XL "","" XXL ""]",Boyfriend Cardigan,109,109,https://www.anntaylor.com/boyfriend-cardigan/487924
Home->Clothing->Tops and Blouses->Tunic Tee,"["" Ash Heather "","" Urban Blue "",""  Light Blue Heather - Online Exclusive ""]","Meet your real-life uniform: this is Luxewear. Every day. Every wear. Perfect for mixing and matching, our tunic tee features an overlapped shirttail hem for an extra flattering effect. Jewel neck. Short sleeves. Shirttail hem.",489570," , 82% Rayon, 15% Polyester, 3% Spandex , , Machine Washable , , Imported ","[""http://anninc.scene7.com/is/image/AN/489570_6585""
""http://anninc.scene7.com/is/image/AN/489570_6585_ALT1""]","["" XXS "","" XS "","" S "","" M "","" L "","" XL "","" XXL ""]",Tunic Tee,39,39,https://www.anntaylor.com/tunic-tee/489570
Home->Clothing->Tops and Blouses->Piped Draped Open Cardigan,"["" Beachside Khaki Heather "","" Black ""]",Our piped open cardigan freshens your wardrobe with an easy drape and season-perfect palette. Open front. Long sleeves.,481862," , 80% Polyester, 20% Rayon , , Machine Washable , , Imported ","[""http://anninc.scene7.com/is/image/AN/481862_1042""
""http://anninc.scene7.com/is/image/AN/481862_1042_ALT1""]","["" XXS "","" XS "","" S "","" M "","" L "","" XL "","" XXL ""]",Piped Draped Open Cardigan,39,50,https://www.anntaylor.com/piped-draped-open-cardigan/481862
Home->Accessories->Jewelry->Circle Stone Earrings,"[""  White - Online Exclusive ""]","Crafted with luminous circular stones, this refined accessory is one of the season's most polished extras. French wire. 2"" drop.",496956," , Imported ","[""http://anninc.scene7.com/is/image/AN/496956_9000http://anninc.scene7.com/is/image/AN/496956_9000http://anninc.scene7.com/is/image/AN/496956_9000http://anninc.scene7.com/is/image/AN/496956_9000""
""http://anninc.scene7.com/is/image/AN/496956_9000_ALT2http://anninc.scene7.com/is/image/AN/496956_9000_ALT2http://anninc.scene7.com/is/image/AN/496956_9000_ALT2http://anninc.scene7.com/is/image/AN/496956_9000_ALT2http://anninc.scene7.com/is/image/AN/496956_9000_ALT2""
""http://anninc.scene7.com/is/image/AN/496956_9000_MKTG1http://anninc.scene7.com/is/image/AN/496956_9000_MKTG1http://anninc.scene7.com/is/image/AN/496956_9000_MKTG1http://anninc.scene7.com/is/image/AN/496956_9000_MKTG1http://anninc.scene7.com/is/image/AN/496956_9000_MKTG1""]","["" ONE SIZE ""]",Circle Stone Earrings,49,49,https://www.anntaylor.com/circle-stone-earrings/496956
